family,algorithm,shape,total_capacity,layer_capacities,load_multiplier,seed,mean_reward,std_reward,mean_length,crash_rate
Heuristic,Heuristic,inverted,10,"[3, 3, 2, 1, 1]",5.0,42,-401.8325726079006,6.370293503401774,1.0,1.0
Heuristic,Heuristic,inverted,10,"[3, 3, 2, 1, 1]",5.0,43,-403.77901842843767,3.8762613214983563,1.0,1.0
Heuristic,FCFS,inverted,10,"[3, 3, 2, 1, 1]",5.0,42,127992.18630115227,1119.9777324803913,10000.0,0.0
Heuristic,FCFS,inverted,10,"[3, 3, 2, 1, 1]",5.0,43,128129.56107233888,988.6278099609276,10000.0,0.0
Heuristic,SJF,inverted,10,"[3, 3, 2, 1, 1]",5.0,42,488160.3391227165,1358.6403982321558,10000.0,0.0
Heuristic,SJF,inverted,10,"[3, 3, 2, 1, 1]",5.0,43,488038.0637798553,1240.1096306005795,10000.0,0.0
Heuristic,Priority,inverted,10,"[3, 3, 2, 1, 1]",5.0,42,-38.4757119015285,11.358809940539816,1.0,1.0
Heuristic,Priority,inverted,10,"[3, 3, 2, 1, 1]",5.0,43,-40.58999761581421,8.37476481546113,1.0,1.0
Heuristic,Heuristic,inverted,30,"[10, 8, 5, 4, 3]",5.0,42,-1466.3065446183327,12.980948775880567,1.0,1.0
Heuristic,Heuristic,inverted,30,"[10, 8, 5, 4, 3]",5.0,43,-1472.4440232572983,9.062158203641756,1.0,1.0
Heuristic,FCFS,inverted,30,"[10, 8, 5, 4, 3]",5.0,42,-175.0583769842628,8.834044504430787,1.0,1.0
Heuristic,FCFS,inverted,30,"[10, 8, 5, 4, 3]",5.0,43,-181.21718036386875,12.406055503223392,1.0,1.0
Heuristic,SJF,inverted,30,"[10, 8, 5, 4, 3]",5.0,42,-25.815094942324755,14.887109122770193,1.0,1.0
Heuristic,SJF,inverted,30,"[10, 8, 5, 4, 3]",5.0,43,-33.90060754736677,17.642652671222635,1.0,1.0
Heuristic,Priority,inverted,30,"[10, 8, 5, 4, 3]",5.0,42,-323.0243605987913,12.16465744282119,1.0,1.0
Heuristic,Priority,inverted,30,"[10, 8, 5, 4, 3]",5.0,43,-329.2490980443314,12.080620616429606,1.0,1.0
